"aand
",neg
"aandal
",neg
"aandu
",neg
"aandupana
",neg
"abla naari tera buble bhaari
",neg
"apni gaand mein muthi daal
",neg
"apni lund choos
",neg
"apni ma ko ja choos
",neg
"backarchodu
",neg
"badboodar choot
",neg
"badir
",neg
"badirchand
",neg
"bahen chod
",neg
"bahen ka loda
",neg
"bahen ke laude
",neg
"bahen ke takke
",neg
"bahen ki choot
",neg
"bahenchod
",neg
"bahinchod
",neg
"bahnchod
",neg
"bakland
",neg
"bakri chod
",neg
"bakwaas
",neg
"ban chod
",neg
"banchod
",neg
"banchood
",neg
"bandaa
",neg
"bandhar
",neg
"ben chod
",neg
"benchod
",neg
"beti chod
",neg
"bhadhava
",neg
"bhadkhau
",neg
"bhadwa
",neg
"bhadwe ka awlat
",neg
"bhai chod
",neg
"bhains ki aulad
",neg
"bhan chhod
",neg
"bhanchod
",neg
"bhandava
",neg
"bhen chod
",neg
"bhen ke laude
",neg
"bhen ke takke
",neg
"bhenchod
",neg
"bhenchodd
",neg
"bhonsri-waalaa
",neg
"bhosad chod
",neg
"bhosadike
",neg
"bhosdaa very
",neg
"bhosdi ka
",neg
"bhosdi wala
",neg
"bhosdika
",neg
"bol teri gand kaise maru
",neg
"booblay
",neg
"buddha khoosat
",neg
"buhtah-nee ka
",neg
"bumchod
",neg
"bund
",neg
"bund maraa le
",neg
"bur
",neg
"bur ki chatani
",neg
"carrom board
",neg
"char soh bis
",neg
"chhaati
",neg
"chhed
",neg
"chhola phudakna
",neg
"chinaal
",neg
"chinaal ke gadde ke nipple ke baal ke joon
",neg
"chipkali ke chut ke pasine
",neg
"chipkali ke gaand ke pasine
",neg
"chipkali ke jhaat ke baal
",neg
"chipkali ke jhaat ke paseene
",neg
"chipkali ki bhigi chut
",neg
"chodela
",neg
"chodnaa to fuck 
",neg
"chodra
",neg
"chodu
",neg
"chodu bhagat
",neg
"choochi
",neg
"choochii
",neg
"choot
",neg
"choot ka baal
",neg
"chootad
",neg
"chootadchod
",neg
"chootia
",neg
"chootiya
",neg
"chootiyapa
",neg
"chootiyapanti
",neg
"chudaai
",neg
"chudaai khaani
",neg
"chudai
",neg
"chudai khana
",neg
"chudan
",neg
"chudi
",neg
"chudwana
",neg
"chull uthna
",neg
"chunni
",neg
"chusnawal
",neg
"chusnawala
",neg
"chut
",neg
"chut ka bhoot
",neg
"chut ka pujari
",neg
"chut ke dhakkan
",neg
"chut ke gulam
",neg
"chut ke pasine
",neg
"chut marike
",neg
"chutan
",neg
"chutia
",neg
"chutiya
",neg
"chutiyapa
",neg
"cuntmama
",neg
"dhee chod
",neg
"dhee ka lund
",neg
"dheela lund
",neg
"fate condom ka natije
",neg
"fuddi pussy 
",neg
"gaand
",neg
"gaand asshole (definition) 
",neg
"gaand ka makhan
",neg
"gaand maarna to fuck in the ass 
",neg
"gaand main danda
",neg
"gaand main keera
",neg
"gaand main lassan
",neg
"gaand marau
",neg
"gaand marna
",neg
"gaand mein bambu
",neg
"gaandfat
",neg
"gaandkate kutte
",neg
"gaandmasti
",neg
"gaandu
",neg
"gaandu asshole (person) 
",neg
"gashti
",neg
"gastee
",neg
"gasti
",neg
"ghassad
",neg
"ghasti
",neg
"ghelchodia
",neg
"goti
",neg
"gotiyan
",neg
"gpl (gaand pe laat)
",neg
"gundmaraa ass fucked (man) 
",neg
"gundmari ass fucked (lady) 
",neg
"haraam ka chuda son of unknown father 
",neg
"haraam ki chudi fucked by someone other then husband. 
",neg
"haraam zaada
",neg
"haraami
",neg
"haraamjaada son of unknown father 
",neg
"haraamjaadi daughter
",neg
"haraamkhor
",neg
"hijda
",neg
"hijdaa
",neg
"hijde
",neg
"hijra
",neg
"hug
",neg
"ing ge pan di kut teh
",neg
"januwar
",neg
"jhaant
",neg
"jhaant ka baal
",neg
"jhaant ke pissu
",neg
"jhaant ukhaadna
",neg
"jhaat chaatu
",neg
"jhaat ka bhaaji
",neg
"jhalla
",neg
"jhant ke baal
",neg
"jhat ke baal
",neg
"kaamchor
",neg
"kadak maal
",neg
"kali choot ke safaid jhaat
",neg
"kali chut ka safaid jhaat
",neg
"kamina
",neg
"katla
",neg
"khade lund pe dhoka
",neg
"khasmanu khaani
",neg
"khota
",neg
"khotey ki aulad
",neg
"khotey ki aulda
",neg
"klpd
",neg
"kutchudi
",neg
"kuthi for girl
",neg
"kutiya
",neg
"kutiya ke pilley
",neg
"kutte ka aulad
",neg
"kutte ka awlat
",neg
"kutte ka beej
",neg
"kutte ka lund
",neg
"kutte ke pilley
",neg
"kutte ke poot
",neg
"kutte ke tatte
",neg
"kutte ki jat
",neg
"kuttiya
",neg
"kya kadak hai ye
",neg
"kya maal hai ye
",neg
"ladkichod
",neg
"landait
",neg
"lavander
",neg
"lavda
",neg
"lavde
",neg
"lavde ke baal
",neg
"lavde ke bal
",neg
"loda
",neg
"lodu
",neg
"londiyachod
",neg
"lund
",neg
"lund choos
",neg
"lund choosu
",neg
"lund chus
",neg
"lund fakeer
",neg
"lund fakir
",neg
"lund ka bheja
",neg
"lund ka shorba
",neg
"lund ke pasine
",neg
"lund pe chad ja
",neg
"lund pe thand hai
",neg
"lund 
",neg
"lundoos
",neg
"lundtopi
",neg
"ma chudi
",neg
"maa chudaa
",neg
"maa ka bhosda
",neg
"maa ke bable
",neg
"maa ke bhadve
",neg
"maa ke bhadwe
",neg
"maa ke laude
",neg
"maa ki choot
",neg
"maa ki chut
",neg
"maa ki phudi
",neg
"maachod
",neg
"maa-chod
",neg
"maa-chut
",neg
"maadarchod
",neg
"maadher chod
",neg
"maakichut
",neg
"maal semen
",neg
"mader chod
",neg
"maha gaandu
",neg
"mammey
",neg
"mangachinamun
",neg
"mast maal
",neg
"momme
",neg
"moot
",neg
"mutar
",neg
"muth maar
",neg
"muth mar
",neg
"muth marna
",neg
"mutthal
",neg
"na chhot
",neg
"najayaz
",neg
"najayaz paidaish
",neg
"netrachodan mat kar
",neg
"nimbu sharbat
",neg
"paad
",neg
"paadu kaun
",neg
"paagal choda
",neg
"padma
",neg
"pancho
",neg
"parichod
",neg
"phatele nirodh ke natije
",neg
"pisaab
",neg
"pucchi
",neg
"raand
",neg
"raand ka jamai
",neg
"raand ka pati
",neg
"raandi baajer
",neg
"raapchik
",neg
"rakhail
",neg
"rand chod
",neg
"randhwa
",neg
"randwa
",neg
"rubber bhosda
",neg
"rundee
",neg
"rundi
",neg
"rundi apni chut leka ana
",neg
"rundi ka bacha
",neg
"rundi khana
",neg
"rundi ki bachi
",neg
"rundi ko chowd
",neg
"saala
",neg
"saala kutta
",neg
"saali kutti
",neg
"sadi hui gaand
",neg
"sali kuta
",neg
"sali kutti
",neg
"seal bund
",neg
"seal pack virgin 
",neg
"sewwer ki bachi
",neg
"soover
",neg
"soower ke bachche
",neg
"suwwar
",neg
"suwwar ka bachcha
",neg
"suwwar ke lund
",neg
"suwwar ki bachchi
",neg
"suwwariya
",neg
"tatte masalna
",neg
"toota hua lund
",neg
"tor mai ke chodho
",neg
"ulloo choda stupid
",neg
"ulloo ka patthaa
",neg
"ullu ke pathe
",neg
"undi
",neg
"randi
",neg
"raandi
",neg
"randwe
",neg
"harami
",neg
"haram khor
",neg
"haramkor
",neg
"maa chod
",neg
"maa chuda
",neg
"maa chooda
",neg
"maa ki aankh
",neg
"randi ke
",neg
"bc
",neg
"bkl
",neg
"muh me lele
",neg
"maa ka bhosdaa
",neg
"gandwe
",neg
"gandwa
",neg
"bhosdi wale
",neg
"c***yapa
",neg
"bosdi ke
",neg
"bosdike
",neg
"madarchood
",neg
"big boobs
",neg
"shake your boobs
",neg
"sex boob
",neg
"suck ur boobs
",neg
"maderchod
",neg
"xxx
",neg
"are u slut
",neg
"fuckyoself
",neg
"laude
",neg
"bhosda
",neg
"chutiyapanti
",neg
"bhnchooo
",neg
"fuk u
",neg
"chut loda
",neg
"lun pakad lo
",neg
"madarchod
",neg
"ma ke lode
",neg
"chooth
",neg
"teri ma ka bamba
",neg
"suck bitch
",neg
"screw u
",neg
"screw you
",neg
"puccy
",neg
"laudagiri
",neg
"bhenchodh
",neg
"madarchodh
",neg
"choothiye
",neg
"maa chudao
",neg
"gaand mara
",neg
"xdesi.com
",neg
"xvideos.com
",neg
"b***s
",neg
"chutiyaapaa
",neg
"bhenchodo
",neg
"maaki chut
",neg
"f@#* you
",neg
"f... u
",neg
"nice boobs
",neg
"tere maa chodunga
",neg
"amma chod
",neg
"chinal log
",neg
"chinal
",neg
"fudu
",neg
"fuddu
",neg
"buckchod
",neg
"lauda
",neg
"maa chudaye
",neg
"chudaye
",neg
"randi k
",neg
"gandu
",neg
"jhaatu
",neg
"jhatu
",neg
"jhatoo
",neg
"chussar
",neg
"chup b bhosdike
",neg
"bhosdi ke
",neg
"bhosdi
",neg
"maa ke lodey..
",neg
"gand marao
",neg
"behanchod
",neg
"bhossdi k
",neg
"maakilaudi
",neg
"muth marke soja
",neg
"muth marka soja
",neg
"muth mar ke so ja
",neg
"muth maar
",neg
"boka choda
",neg
"bhosdike
",neg
"bakchod
",neg
"backcgod
",neg
"brest
",neg
"cleavage
",neg
"chudna
",neg
"phudi
",neg
"cutyiye
",neg
"pennis
",neg
"chu.t
",neg
"backchod
",neg
"hot clevage
",neg
"clevage
",neg
"gand
",neg
"bhosadiwaale
",neg
"bokachoda
",neg
"nice cleavage
",neg
"jhat
",neg
"thode daba do
",neg
"bosid***ke
",neg
"band kar lav**d
",neg
"bhaag bhanchode 
",neg
"bhanchode
",neg
"baag bachod ladki
",neg
"bachod
",neg
"cu**t
",neg
"ch****ye
",neg
"ban**chid
",neg
"chu chu
",neg
"bachchod
",neg
"ga**ndo
",neg
"machudao
",neg
"chuchi
",neg
"teri maa ki ***
",neg
"chusss le
",neg
"chu
",neg
"chuu
",neg
"b*nch*d*
",neg
"cutiye
",neg
"bosidike
",neg
"boooooobbbbbssss
",neg
"muh mae le
",neg
"bakchodi
",neg
"bh*sdike
",neg
"raan*s
",neg
"lole
",neg
"bhdve
",neg
"bahan ki chuat
",neg
"maadr chaad
",neg
"ga**nd
",neg
"ga**
",neg
"chuchu
",neg
"chusaa hua
",neg
"bosidike
",neg
"teri maa ka saaki
",neg
"f***ing
",neg
"f***off
",neg
"chup mc
",neg
"bhosdiwaale
",neg
"bhosdikee
",neg
